# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;rosto risonho;lol|rindo|risada|rosto|rosto risonho
	👨🏿‍❤️‍👨🏽;casal apaixonado: homem, homem, pele escura e pele morena;casal apaixonado|casal apaixonado: homem, homem, pele escura e pele morena|casal com um coração|coração|homem|pele escura|pele morena|pessoas|romance
	👨🏿‍❤️‍👨🏾;casal apaixonado: homem, homem, pele escura e pele morena escura;casal apaixonado|casal apaixonado: homem, homem, pele escura e pele morena escura|casal com um coração|coração|homem|pele escura|pele morena escura|pessoas|romance
	👨🏿‍❤️‍👨🏿;casal apaixonado: homem, homem e pele escura;casal apaixonado|casal apaixonado: homem, homem e pele escura|casal com um coração|coração|homem|pele escura|pessoas|romance
👩‍❤️‍👩;casal apaixonado: mulher e mulher;casal apaixonado|casal apaixonado: mulher e mulher|casal com um coração|coração|mulher|pessoas|romance
	👩🏻‍❤️‍👩🏻;casal apaixonado: mulher, mulher e pele clara;casal apaixonado|casal apaixonado: mulher, mulher e pele clara|casal com um coração|coração|mulher|pele clara|pessoas|romance
	👩🏻‍❤️‍👩🏼;casal apaixonado: mulher, mulher, pele clara e pele morena clara;casal apaixonado|casal apaixonado: mulher, mulher, pele clara e pele morena clara|casal com um coração|coração|mulher|pele clara|pele morena clara|pessoas|romance
	👩🏻‍❤️‍👩🏽;casal apaixonado: mulher, mulher, pele clara e pele morena;casal apaixonado|casal apaixonado: mulher, mulher, pele clara e pele morena|casal com um coração|coração|mulher|pele clara|pele morena|pessoas|romance
	👩🏻‍❤️‍👩🏾;casal apaixonado: mulher, mulher, pele clara e pele morena escura;casal apaixonado|casal apaixonado: mulher, mulher, pele clara e pele morena escura|casal com um coração|coração|mulher|pele clara|pele morena escura|pessoas|romance
	👩🏻‍❤️‍👩🏿;casal apaixonado: mulher, mulher, pele clara e pele escura;casal apaixonado|casal apaixonado: mulher, mulher, pele clara e pele escura|casal com um coração|coração|mulher|pele clara|pele escura|pessoas|romance
	👩🏼‍❤️‍👩🏻;casal apaixonado: mulher, mulher, pele morena clara e pele clara;casal apaixonado|casal apaixonado: mulher, mulher, pele morena clara e pele clara|casal com um coração|coração|mulher|pele clara|pele morena clara|pessoas|romance
	👩🏼‍❤️‍👩🏼;casal apaixonado: mulher, mulher e pele morena clara;casal apaixonado|casal apaixonado: mulher, mulher e pele morena clara|casal com um coração|coração|mulher|pele morena clara|pessoas|romance
	👩🏼‍❤️‍👩🏽;casal apaixonado: mulher, mulher, pele morena clara e pele morena;casal apaixonado|casal apaixonado: mulher, mulher, pele morena clara e pele morena|casal com um coração|coração|mulher|pele morena|pele morena clara|pessoas|romance
	👩🏼‍❤️‍👩🏾;casal apaixonado: mulher, mulher, pele morena clara e pele morena escura;casal apaixonado|casal apaixonado: mulher, mulher, pele morena clara e pele morena escura|casal com um coração|coração|mulher|pele morena clara|pele morena escura|pessoas|romance
	👩🏼‍❤️‍👩🏿;casal apaixonado: mulher, mulher, pele morena clara e pele escura;casal apaixonado|casal apaixonado: mulher, mulher, pele morena clara e pele escura|casal com um coração|coração|mulher|pele escura|pele morena clara|pessoas|romance
	👩🏽‍❤️‍👩🏻;casal apaixonado: mulher, mulher, pele morena e pele clara;casal apaixonado|casal apaixonado: mulher, mulher, pele morena e pele clara|casal com um coração|coração|mulher|pele clara|pele morena|pessoas|romance
	👩🏽‍❤️‍👩🏼;casal apaixonado: mulher, mulher, pele morena e pele morena clara;casal apaixonado|casal apaixonado: mulher, mulher, pele morena e pele morena clara|casal com um coração|coração|mulher|pele morena|pele morena clara|pessoas|romance
	👩🏽‍❤️‍👩🏽;casal apaixonado: mulher, mulher e pele morena;casal apaixonado|casal apaixonado: mulher, mulher e pele morena|casal com um coração|coração|mulher|pele morena|pessoas|romance
	👩🏽‍❤️‍👩🏾;casal apaixonado: mulher, mulher, pele morena e pele morena escura;casal apaixonado|casal apaixonado: mulher, mulher, pele morena e pele morena escura|casal com um coração|coração|mulher|pele morena|pele morena escura|pessoas|romance
	👩🏽‍❤️‍👩🏿;casal apaixonado: mulher, mulher, pele morena e pele escura;casal apaixonado|casal apaixonado: mulher, mulher, pele morena e pele escura|casal com um coração|coração|mulher|pele escura|pele morena|pessoas|romance
	👩🏾‍❤️‍👩🏻;casal apaixonado: mulher, mulher, pele morena escura e pele clara;casal apaixonado|casal apaixonado: mulher, mulher, pele morena escura e pele clara|casal com um coração|coração|mulher|pele clara|pele morena escura|pessoas|romance
	👩🏾‍❤️‍👩🏼;casal apaixonado: mulher, mulher, pele morena escura e pele morena clara;casal apaixonado|casal apaixonado: mulher, mulher, pele morena escura e pele morena clara|casal com um coração|coração|mulher|pele morena clara|pele morena escura|pessoas|romance
	👩🏾‍❤️‍👩🏽;casal apaixonado: mulher, mulher, pele morena escura e pele morena;casal apaixonado|casal apaixonado: mulher, mulher, pele morena escura e pele morena|casal com um coração|coração|mulher|pele morena|pele morena escura|pessoas|romance
	👩🏾‍❤️‍👩🏾;casal apaixonado: mulher, mulher e pele morena escura;casal apaixonado|casal apaixonado: mulher, mulher e pele morena escura|casal com um coração|coração|mulher|pele morena escura|pessoas|romance
	👩🏾‍❤️‍👩🏿;casal apaixonado: mulher, mulher, pele morena escura e pele escura;casal apaixonado|casal apaixonado: mulher, mulher, pele morena escura e pele escura|casal com um coração|coração|mulher|pele escura|pele morena escura|pessoas|romance
	👩🏿‍❤️‍👩🏻;casal apaixonado: mulher, mulher, pele escura e pele clara;casal apaixonado|casal apaixonado: mulher, mulher, pele escura e pele clara|casal com um coração|coração|mulher|pele clara|pele escura|pessoas|romance
	👩🏿‍❤️‍👩🏼;casal apaixonado: mulher, mulher, pele escura e pele morena clara;casal apaixonado|casal apaixonado: mulher, mulher, pele escura e pele morena clara|casal com um coração|coração|mulher|pele escura|pele morena clara|pessoas|romance
	👩🏿‍❤️‍👩🏽;casal apaixonado: mulher, mulher, pele escura e pele morena;casal apaixonado|casal apaixonado: mulher, mulher, pele escura e pele morena|casal com um coração|coração|mulher|pele escura|pele morena|pessoas|romance
	👩🏿‍❤️‍👩🏾;casal apaixonado: mulher, mulher, pele escura e pele morena escura;casal apaixonado|casal apaixonado: mulher, mulher, pele escura e pele morena escura|casal com um coração|coração|mulher|pele escura|pele morena escura|pessoas|romance
	👩🏿‍❤️‍👩🏿;casal apaixonado: mulher, mulher e pele escura;casal apaixonado|casal apaixonado: mulher, mulher e pele escura|casal com um coração|coração|mulher|pele escura|pessoas|romance
👨‍👩‍👦;família: homem, mulher e menino;família|família: homem, mulher e menino|filho|homem|mãe|menino|mulher|pai|pessoas
👨‍👩‍👧;família: homem, mulher e menina;família|família: homem, mulher e menina|filho|homem|mãe|menina|mulher|pai|pessoas
👨‍👩‍👧‍👦;família: homem, mulher, menina e menino;família|família: homem, mulher, menina e menino|filho|homem|mãe|menina|menino|mulher|pai|pessoas
👨‍👩‍👦‍👦;família: homem, mulher, menino e menino;família|família: homem, mulher, menino e menino|filho|homem|mãe|menino|mulher|pai|pessoas
👨‍👩‍👧‍👧;família: homem, mulher, menina e menina;família|família: homem, mulher, menina e menina|filho|homem|mãe|menina|mulher|pai|pessoas
👨‍👨‍👦;família: homem, homem e menino;família|família: homem, homem e menino|filho|homem|mãe|menino|pai|pessoas
👨‍👨‍👧;família: homem, homem e menina;família|família: homem, homem e menina|filho|homem|mãe|menina|pai|pessoas
👨‍👨‍👧‍👦;família: homem, homem, menina e menino;família|família: homem, homem, menina e menino|filho|homem|mãe|menina|menino|pai|pessoas
👨‍👨‍👦‍👦;família: homem, homem, menino e menino;família|família: homem, homem, menino e menino|filho|homem|mãe|menino|pai|pessoas
👨‍👨‍👧‍👧;família: homem, homem, menina e menina;família|família: homem, homem, menina e menina|filho|homem|mãe|menina|pai|pessoas
👩‍👩‍👦;família: mulher, mulher e menino;família|família: mulher, mulher e menino|filho|mãe|menino|mulher|pai|pessoas
👩‍👩‍👧;família: mulher, mulher e menina;família|família: mulher, mulher e menina|filho|mãe|menina|mulher|pai|pessoas
👩‍👩‍👧‍👦;família: mulher, mulher, menina e menino;família|família: mulher, mulher, menina e menino|filho|mãe|menina|menino|mulher|pai|pessoas
👩‍👩‍👦‍👦;família: mulher, mulher, menino e menino;família|família: mulher, mulher, menino e menino|filho|mãe|menino|mulher|pai|pessoas
👩‍👩‍👧‍👧;família: mulher, mulher, menina e menina;família|família: mulher, mulher, menina e menina|filho|mãe|menina|mulher|pai|pessoas
👨‍👦;família: homem e menino;família|família: homem e menino|filho|homem|mãe|menino|pai|pessoas
👨‍👦‍👦;família: homem, menino e menino;família|família: homem, menino e menino|filho|homem|mãe|menino|pai|pessoas
👨‍👧;família: homem e menina;família|família: homem e menina|filho|homem|mãe|menina|pai|pessoas
👨‍👧‍👦;família: homem, menina e menino;família|família: homem, menina e menino|filho|homem|mãe|menina|menino|pai|pessoas
👨‍👧‍👧;família: homem, menina e menina;família|família: homem, menina e menina|filho|homem|mãe|menina|pai|pessoas
👩‍👦;família: mulher e menino;família|família: mulher e menino|filho|mãe|menino|mulher|pai|pessoas
👩‍👦‍👦;família: mulher, menino e menino;família|família: mulher, menino e menino|filho|mãe|menino|mulher|pai|pessoas
👩‍👧;família: mulher e menina;família|família: mulher e menina|filho|mãe|menina|mulher|pai|pessoas
👩‍👧‍👦;família: mulher, menina e menino;família|família: mulher, menina e menino|filho|mãe|menina|menino|mulher|pai|pessoas
👩‍👧‍👧;família: mulher, menina e menina;família|família: mulher, menina e menina|filho|mãe|menina|mulher|pai|pessoas
🗣️;silhueta falando;cabeça|falando|silhueta|voz
👤;silhueta de busto;busto|pessoas|silhueta|silhueta de busto
👥;silhueta de bustos;busto|pessoas|silhueta|silhueta de bustos
🫂;pessoas se abraçando;abraço|adeus|obrigado|olá|pessoas se abraçando
👪;família;família|filho|mãe|pai|pessoas
🧑‍🧑‍🧒;família: adulto, adulto, criança;adulto|criança|família: adulto|família: adulto, adulto, criança
🧑‍🧑‍🧒‍🧒;família: adulto, adulto, criança, criança;adulto|criança|família: adulto|família: adulto, adulto, criança, criança
🧑‍🧒;família: adulto, criança;criança|família: adulto|família: adulto, criança
🧑‍🧒‍🧒;família: adulto, criança, criança;criança|família: adulto|família: adulto, criança, criança
👣;pegadas;corpo|gravura|pé|pegadas

[animals_nature]
🐵;rosto de macaco;animal|macaco|rosto|rosto de macaco
🐒;macaco;animal|macaco
🦍;gorila;animal|gorila|macaco
🦧;orangotango;macaco|orangotango
🐶;rosto de cachorro;animal|cachorro|rosto|rosto de cachorro
🐕;cachorro;animal|cachorro
🦮;cão-guia;acessibilidade|cão-guia|cegueira|guia
🐕‍🦺;cão de serviço;accessibilidade|assistência|cão|cão de serviço|serviço
🐩;poodle;animal|cachorro|poodle
🐺;rosto de lobo;animal|lobo|rosto|rosto de lobo
🦊;rosto de raposa;raposa|rosto|rosto de raposa
🦝;guaxinim;astuto|curioso|guaxinim
🐱;rosto de gato;animal|gato|rosto|rosto de gato
🐈;gato;animal|gato
🐈‍⬛;gato preto;azar|gato|preto
🦁;rosto de leão;animal|leão|rosto|rosto de leão|zodíaco
🐯;rosto de tigre;animal|rosto de tigre|tigre
🐅;tigre;animal|tigre
🐆;leopardo;animal|leopardo
🐴;rosto de cavalo;animal|cavalo|rosto|rosto de cavalo
🫎;alce;alce|animal|chifres|mamífero
🫏;burro;animais|burro|jegue|mamífero|mula|teimoso
🐎;cavalo;animal|cavalo|corrida de cavalo|equestre
🦄;rosto de unicórnio;rosto|rosto de unicórnio|unicórnio
🦓;zebra;animal|listra|zebra
🦌;cervo;animal|cervo|veado
🦬;bisão;bisão|bisonte|búfalo|rebanho
🐮;rosto de vaca;animal|rosto|rosto de vaca|vaca
🐂;boi;animal|boi|Touro|zodíaco
🐃;búfalo-asiático;água|animal|búfalo|búfalo-asiático
🐄;vaca;animal|vaca
🐷;rosto de porco;animal|porco|rosto|rosto de porco
🐖;porco;animal|porco
🐗;javali;animal|javali
🐽;nariz de porco;animal|nariz|nariz de porco|porco|rosto
🐏;carneiro;animal|Áries|carneiro|zodíaco
🐑;ovelha;animal|ovelha
🐐;cabra;animal|bode|cabra|Capricórnio|zodíaco
🐪;camelo;animal|camelo|camelo de uma só corcova|corcova|dromedário
🐫;camelo com duas corcovas;animal|camelo|camelo asiático com duas corcovas|camelo com duas corcovas|corcova
🦙;lhama;alpaca|animal|guanaco|lã|lhama|vicunha
🦒;girafa;animal|girafa
🐘;elefante;animal|elefante
🦣;mamute;extinto|grande|lanoso|mamute|presa
🦏;rinoceronte;animal|rinoceronte
🦛;hipopótamo;animal|hipopótamo
🐭;rosto de camundongo;animal|camundongo|rosto|rosto de camundongo
🐁;camundongo;animal|camundongo
🐀;rato;animal|ratazana|rato
🐹;rosto de hamster;animal|hamster|rosto|rosto de hamster
🐰;rosto de coelho;animal|coelho|rosto|rosto de coelho
🐇;coelho;animal|coelhinho|coelho
🐿️;esquilo;animal|esquilo
🦫;castor;castor|represa
🦔;porco-espinho;animal|porco-espinho
🦇;morcego;animal|morcego|vampiro
🐻;rosto de urso;animal|rosto|rosto de urso|urso
🐻‍❄️;urso polar;ártico|branco|urso|urso polar
🐨;coala;animal|coala
🐼;rosto de panda;animal|panda|rosto|rosto de panda
🦥;preguiça;lenta|preguiça|preguiçosa
🦦;lontra;brincalhona|lontra|pesca
🦨;gambá;fedor|gambá
🦘;canguru;Austrália|canguru|joey|marsupial|pula
🦡;texugo;ratel|texugo|texugo de mel
🐾;patas;pata|patas|pegada|pegada de pata
🦃;peru;ave|peru
🐔;galinha;ave|galinha
🐓;galo;ave|galo
🐣;pintinho chocando;ave|chocando|filhote|galinha|pintinho|pinto
🐤;pintinho de perfil;ave|filhote|galinha|pintinho|pintinho de perfil|pinto
🐥;pintinho de frente;ave|fihote|galinha|pintinho|pintinho de frente|pinto
🐦;pássaro;animal|pássaro
🐧;pinguim;animal|pinguim
🕊️;pomba branca;animal|ave branca|pássaro|paz|pomba|pomba branca
🦅;águia;águia|pássaro
🦆;pato;pássaro|pato
🦢;cisne;cisne|pássaro|patinho feio
🦉;coruja;coruja|pássaro|sabedoria
🦤;dodô;dodô|extinto|grande|Maurício
🪶;pena;leve|pássaro|pena|plumagem|voo
🦩;flamingo;extravagante|flamingo|tropical
🦚;pavão;ave|orgulhoso|pavão|pavoa|pomposo
🦜;papagaio;fala|papagaio|pássaro|pirata
🪽;asa;angelical|asa|aviação|mitologia|pássaro|voando
🐦‍⬛;pássaro preto;corvo|gralha|pássaro|preto
🪿;ganso;ave|bobo|ganso|grasno|pássaro
🐦‍🔥;fênix;fantasia|fênix|pássaro de fogo|reencarnação|reincarnação|renascimento
🐸;sapo;animal|rosto|rosto de sapo|sapo
🐊;crocodilo;animal|crocodilo
🐢;tartaruga;animal|tartaruga
🦎;lagartixa;animal|lagartixa|réptil
🐍;cobra;animal|cobra|réptil|serpente
🐲;rosto de dragão;animal|dragão|rosto|rosto de dragão
🐉;dragão;animal|dragão
🦕;saurópode;braquiossauro|brontossuro|diplódoco|saurópode
🦖;tiranossauro rex;T-Rex|tiranossauro rex
🐳;baleia esguichando água;animal|baleia|baleia esguichando água|esguicho
🐋;baleia;animal|baleia
🐬;golfinho;animal|golfinho
🦭;foca;foca|leão marinho
🐟;peixe;animal|peixe|Peixes|zodíaco
🐠;peixe tropical;animal|peixe|peixe tropical
🐡;baiacu;animal|baiacu|peixe
🦈;tubarão;peixe|tubarão
🐙;polvo;animal|polvo
🐚;caramujo;animal|caramujo
🪸;coral;coral|oceano|recife
🪼;água-viva;água-viva|ai|ferrão|invertebrado|marinha|medusa|queimadura
🐌;caracol;animal|caracol
🦋;borboleta;beleza|borboleta|inseto
🐛;inseto;animal|centopeia|inseto|lagarta
🐜;formiga;formiga|inseto
🐝;abelha;abelha|inseto
🪲;besouro;besouro|bicho|inseto
🐞;joaninha;inseto|joaninha
🦗;grilo;grilo|inseto
🪳;barata;barata|baratas|inseto|praga
🕷️;aranha;aranha|inseto
🕸️;teia de aranha;aranha|inseto|teia|teia de aranha
🦂;escorpião;Escorpião|inseto|zodíaco
🦟;mosquito;doença|febre|inseto|malária|mosquito|vírus
🪰;mosca;apodrecendo|doença|larva|mosca|praga
🪱;minhoca;anelídeo|minhoca|parasita
🦠;micróbio;ameba|bactéria|micróbio|vírus
💐;buquê;buquê|flor
🌸;flor de cerejeira;cereja|cerejeira|flor|flor de cerejeira
💮;flor branca;flor|flor branca
🪷;lótus;budismo|flor|hinduísmo|Índia|lótus|pureza|Vietnã
🏵️;roseta;flor|roseta
🌹;rosa;flor|rosa
🥀;flor murcha;flor|murcha|murchando
🌺;hibisco;flor|hibisco
🌻;girassol;flor|girassol
🌼;flor;flor|florescer
🌷;tulipa;flor|tulipa
🪻;jacinto;bluebonnet|flor|flor-crânio-do-dragão|jacinto|lavanda|lupinus
🌱;muda de planta;muda|muda de planta|plantinha
🪴;vaso com planta;casa|chato|nutrir|planta|plantar|sem utilidade|vaso com planta
🌲;conífera;árvore|conífera
🌳;árvore caidiça;árvore|caidiça|desfolha
🌴;palmeira;árvore|palmeira
🌵;cacto;cacto|planta
🌾;planta de arroz;arroz|espiga|espiga de arroz|planta de arroz
🌿;erva;erva|folha
☘️;trevo;trevo|trevo de três folhas
🍀;trevo de quatro folhas;folhas|quatro|trevo|trevo de quatro folhas
🍁;folha de bordo;folha|folha caída|folha de bordo
🍂;folhas caídas;caídas|cair|folha|folhas
🍃;folha ao vento;folha|folha ao vento|soprando|vento
🪹;ninho vazio;aninhando|ninho vazio
🪺;ninho com ovos;aninhando|ninho com ovos
🍄;cogumelo;champignon|cogumelo

[food_drink]
🍇;uvas;fruta|uvas
🍈;melão;fruta|melão
🍉;melancia;fruta|melancia
🍊;tangerina;fruta|laranja|tangerina
🍋;limão;cítrico|fruta|limão|limão siciliano
🍋‍🟩;lima;cítrica|fruta|lima|limão|tropical
🍌;banana;banana|fruta
🍍;abacaxi;abacaxi|fruta
🥭;manga;fruta|manga|tropical
🍎;maçã vermelha;fruta|maçã|vermelha
🍏;maçã verde;fruta|maçã|verde
🍐;pera;fruta|pera
🍑;pêssego;fruta|pêssego
🍒;cereja;cereja|fruta|frutas vermelhas
🍓;morango;fruta|frutas vermelhas|morango
🫐;mirtilos;azul|baga|blueberry|mirtilo|mirtilos
🥝;kiwi;comida|fruta|kiwi
🍅;tomate;fruta|fruto|legume|tomate
🫒;azeitona;alimento|azeitona
🥥;coco;coco|fruta
🥑;abacate;abacate|comida|fruta
🍆;berinjela;berinjela|legume
🥔;batata;batata|comida|legume
🥕;cenoura;cenoura|comida|legume
🌽;milho;espiga|espiga de milho|milho
🌶️;pimenta;apimentado|pimenta|tempero
🫑;pimentão;capsicum|pimenta|pimentão|vegetal
🥒;pepino;comida|legume|pepino|picles
🥬;verdura;alface|bok choy|couve|repolho|verdura
🥦;brócolis;brócolis
🧄;alho;alho|tempero
🧅;cebola;cebola|tempero
🥜;amendoim;amendoim|comida
🫘;feijões;alimento|comida|feijões|legume
🌰;castanha;castanha|planta
🫚;gengibre;cerveja|gengibre|raiz|tempero
🫛;vagem;edamame|ervilha|feijão|leguminosa|vagem|vegetal
🍄‍🟫;cogumelo marrom;cogumelo marrom|comida|fungo|natureza|vegetal
🍞;pão;pão|pão de forma
🥐;croissant;comida|croissant|pão
🥖;baguete;baguete|bisnaga|comida|pão
🫓;pão sírio;arepa|lavash|naan|pão sírio|pita
🥨;pretzel;pretzel
🥯;rosca;chimia|pão|rosca
🥞;panquecas;comida|crepes|panquecas
🧇;waffle;gofre|waffle|wafle
🧀;queijo;queijo|queijo suíço
🍖;carne;carne|carne no osso|osso
🍗;coxa de frango;aves|coxa|coxa de frango|coxinha
🥩;corte de carne;bife|corte de carne|costeleta de porco
🥓;bacon;bacon|comida|toucinho
🍔;hambúrguer;búrguer|hambúrguer
🍟;batata frita;batata frita|fritas
🍕;pizza;fatia de pizza|pizza
🌭;cachorro-quente;cachorro-quente|hot dog|pão com salsicha
🥪;sanduíche;sanduíche
🌮;taco;comida mexicana|taco
🌯;burrito;burrito|comida mexicana
🫔;tamale;enrolado|mexicano|tamale
🥙;pão recheado;comida|kebab|pão|pão recheado|recheio|wrap
🧆;falafel;almôndega|falafel|grão de bico
🥚;ovo;comida|ovo
🍳;ovo frito;frigideira|ovo|ovo estrelado|ovo frito
🥘;caçarola com comida;caçarola|caçarola com comida|comida|paella|panela|rasa
🍲;panela;ensopado|panela|tigela de comida
🫕;fondue;chocolate|derretido|fondue|panela|queijo|suíço
🥣;tigela com colher;café da manhã|cereal|tigela com colher
🥗;salada verde;comida|salada|verde
🍿;pipoca;balde de pipoca|pipoca|pipoca de cinema
🧈;manteiga;laticínio|manteiga
🧂;sal;condimento|sal|saleiro
🥫;comida enlatada;comida enlatada|lata
🍱;bentô;bentô|caixa|caixa de bentô
🍘;biscoito de arroz;arroz|biscoito de arroz|cracker
🍙;arroz japonês;arroz|japonês|onigiri
🍚;arroz cozido;arroz|arroz cozido
🍛;arroz com curry;arroz|arroz com curry|curry|curry e arroz
🍜;lámen;lámen|ramen|tigela
🍝;espaguete;espaguete|macarrão|macarronada
🍠;batata assada;assada|batata|batata-doce
🍢;oden;espetinho|frutos do mar|frutos do mar no espetinho|oden|restaurante
🍣;sushi;comida japonesa|sushi
🍤;camarão frito;camarão|camarão frito|tempura
🍥;bolinho de peixe;bolinho de peixe|croquete de peixe|peixe
🥮;bolo lunar;bolo lunar|festival|outono|yuèbǐng
🍡;dango;bolinho japonês|dango|japonês|mochi|mochiko|sobremesa
🥟;bolinho asiático;asiático|bolinho|chinês|dumpling|empanada
🥠;biscoito da sorte;biscoito da sorte|profecia
🥡;caixa para viagem;caixa para viagem
🦀;caranguejo;animal|Câncer|caranguejo|zodíaco
🦞;lagosta;bisque|caldo|fruto do mar|garras|lagosta
🦐;camarão;camarão|comida|crustáceo
🦑;lula;comida|lula|molusco
🦪;ostra;mergulho|ostra|pérola
🍦;sorvete italiano;sorvete|sorvete de casquinha|sorvete italiano|sorvete na casquinha
🍧;raspadinha de gelo;gelo|raspadinha|raspadinha de gelo|sobremesa
🍨;sorvete;sobremesa|sorvete
🍩;donut;donut|rosquinha
🍪;biscoito;biscoito|bolacha|cookie|doce
🎂;bolo de aniversário;aniversário|bolo|bolo de aniversário|comemoração
🍰;pão de ló de morango;bolo|fatia|fatia de bolo|pão de ló|pão de ló de morango|sobremesa
🧁;cupcake;bolo|confeitaria|cupcake|doce|torta
🥧;torta;fatia de torta|torta
🍫;chocolate;barra|barra de chocolate|chocolate
🍬;bala;bala|balinha|doce
🍭;pirulito;bala|doce|pirulito
🍮;pudim;pudim|pudim de leite|pudim de ovos
🍯;pote de mel;mel|pote|pote de mel
🍼;mamadeira;bebê|leite|leitinho|mamadeira|neném
🥛;copo de leite;copo|copo de leite|leite
☕;café;café|cafezinho|chá
🫖;bule;bebida|bule|chá|chaleira
🍵;xícara de chá sem alça;bebida|chá|xícara|xícara de chá|xícara de chá sem alça
🍶;saquê;bar|bebida|copo|garrafa|garrafa e copo de saquê|saquê
🍾;garrafa de champanhe;bar|champanha|champanhe|espumante|garrafa|garrafa de champanhe
🍷;vinho;bar|bebida|cálice de vinho|taça de vinho|vinho
🍸;coquetel;bar|coquetel|taça de coquetel
🍹;bebida tropical;bar|bebida|coquetel de frutas|drink|tropical
🍺;cerveja;bar|caneca|caneca de cerveja|cerveja|chopp
🍻;canecas de cerveja;bar|caneca|canecas|canecas de cerveja|cerveja|chopp
🥂;taças brindando;brinde|champanhe|comemoração|taça|taças brindando|tim-tim
🥃;copo;bebida|copo|drink|whisky
🫗;derramando líquido;bebida|derramando líquido|derramar|vazio|vidro
🥤;copo com canudo;copo com canudo|suco
🧋;chá perolado;bolha|chá|chá perolado|leite|pérola
🧃;suco de caixa;caixa de suco|suco de caixa
🧉;mate;bebida|mate
🧊;cubo de gelo;cubo de gelo|gelado|iceberg
🥢;hashi;hashi|pauzinhos
🍽️;prato com talheres;prato com garfo e faca|prato com talheres|prato com talheres ao lado|restaurante
🍴;garfo e faca;faca|garfo|garfo e faca|talher
🥄;colher;colher|talher
🔪;faca de cozinha;faca|faca de cozinha
🫙;jarro;armazenar|condimento|jarro|molho|recipiente|vazio
🏺;ânfora;ânfora|ornamento chinês|vaso|vaso chinês

[travel_places]
🌍;globo mostrando Europa e África;África|Europa|globo mostrando Europa e África|Terra
🌎;globo mostrando as Américas;América|as Américas|globo mostrando as Américas|Terra
🌏;globo mostrando Ásia e Oceania;Ásia|Austrália|globo mostrando Ásia e Oceania|Terra
🌐;globo com meridianos;globo com meridianos|meridianos
🗺️;mapa-múndi;geografia|mapa|mapa-múndi|mundo
🗾;mapa do Japão;Japão|mapa|mapa do Japão
🧭;bússola;bússola|bússola magnética|navegação|orientação
🏔️;montanha com neve;frio|montanha|montanha com neve|neve
⛰️;montanha;montanha
🌋;vulcão;erupção vulcânica|vulcão
🗻;Monte Fuji;montanha|Monte Fuji
🏕️;acampamento;acampamento|barraca
🏖️;praia e guarda-sol;guarda-sol|praia|praia e guarda-sol
🏜️;deserto;deserto
🏝️;ilha deserta;ilha|ilha deserta
🏞️;parque nacional;parque|parque com rio|parque nacional|rio
🏟️;estádio;estádio
🏛️;prédio grego;arquitetura|clássico|grego|prédio grego
🏗️;construção;construção|obra
🧱;tijolo;argamassa|argila|muro|parede|tijolo|tijolos
🪨;pedra;pedra|pedregulho|pesado|rocha|sólido
🪵;madeira;lenha|madeira|madeira serrada|tronco
🛖;cabana;cabana|casa|yurt
🏘️;casas;casas
🏚️;casa abandonada;casa|casa abandonada
🏠;casa;casa|construção
🏡;casa com jardim;casa|casa com jardim|construção|jardim|lar
🏢;edifício comercial;edifício|edifício comercial|escritório
🏣;correio japonês;correio|japonês|oriental|prédio
🏤;correio;correio|europeu|prédio
🏥;hospital;hospital|prédio
🏦;banco;banco|prédio
🏨;hotel;hotel|prédio
🏩;motel;amor|hotel|motel|prédio
🏪;loja de conveniência;conveniência|loja|loja de conveniência|prédio
🏫;escola;escola|prédio|prédio da escola
🏬;loja de departamentos;departamentos|loja|loja de departamentos
🏭;fábrica;fábrica|prédio
🏯;castelo japonês;castelo|castelo japonês|pagoda|pagode|prédio
🏰;castelo;castelo|castelo europeu|castelo medieval|prédio
💒;capela de casamento;capela|capela de casamento|casamento|romance
🗼;Torre de Tóquio;Tóquio|torre|Torre de Tóquio
🗽;Estátua da Liberdade;estátua|Estátua da Liberdade|liberdade
⛪;igreja;igreja|prédio
🕌;mesquita;islã|mesquita|muçulmano|religião
🛕;templo hindu;hindu|templo
🕍;sinagoga;judaísmo|judeu|religião|sinagoga|templo
⛩️;santuário japonês;japonês|oriental|religião|santuário japonês
🕋;caaba islã;caaba islã|islã|muçulmano|religião
⛲;fonte;chafariz|fonte
⛺;barraca;acampamento|barraca
🌁;enevoado;bruma|enevoado|neblina|névoa|nevoeiro
🌃;noite estrelada;estrelas|noite|noite estrelada
🏙️;cidade;cidade|prédios
🌄;aurora sobre montanhas;aurora sobre montanhas|montanha|nascer do sol sobre as montanhas|sol da manhã
🌅;aurora sobre água;aurora sobre água|rio|sol da manhã|sol nascendo
🌆;cidade ao anoitecer;anoitecer|cidade|cidade ao anoitecer|noite|paisagem|pôr do sol|prédio
🌇;pôr do sol;anoitecer|pôr do sol|pôr do sol sobre prédios|prédio
🌉;ponte à noite;noite|ponte à noite|ponte da noite
♨️;chamas;calor|chamas|fogo
🎠;carrossel;carrossel|cavalo|cavalo de carrossel|entretenimento
🛝;escorregador;brincar|escorregador|parque de diversões
🎡;roda gigante;entretenimento|gigante|parque de diversões|roda
🎢;montanha russa;entretenimento|montanha|parque de diversões|russa
💈;barbearia;barbearia|barbeiro|barber pole|poste|poste de barbeiro
